REPORT_DATE,REFERENCE_ID,BIS_CATEGORY,BIS_TYPE,GUARANTEE_TYPE,BUSINESS_TYPE,METHOD_TYPE,FORMULA,RISK_WEIGHT,EXPOSURE_AMOUNT,GUARANTEE_AMOUNT,RISK_AMOUNT,PRE_CALC_VALUE,FINAL_VALUE
30/6/2025,548bcb23-a535-4c08-8ada-5312a0b867c2,Option,Banking,Government,Corporate,SA-CCR,F1,0.3,718153.71,189294.68,158657.71,167445.11,164084.66
30/6/2025,504481e5-da6c-42ba-a6e7-6951e9ed543c,Option,Banking,Collateral,Corporate,IMM,F3,0.55,852080.99,79132.88,425121.46,486937.36,442779.01
30/6/2025,ad257f28-0758-42bd-ad17-2bacc702e3fb,Option,Trading,Collateral,Sovereign,SA-CCR,F1,0.89,219004.25,39518.64,159742.19,137206.23,127210.66
30/6/2025,b0603642-be0d-49ef-b066-db7021793c5a,Option,Trading,Third-party,Sovereign,SA-CCR,F1,0.34,535289.39,246437.06,98209.79,82010.71,76419.61
30/6/2025,6f462406-283d-448c-90f0-899e5e52f081,Option,Securitization,Collateral,Sovereign,SA-CCR,F3,0.83,939880.4,111009.76,687962.63,744631.56,777360.09
30/6/2025,0659d82b-e332-4d46-a495-5e1a28a2b8cc,Option,Banking,Collateral,Retail,SA-CCR,F2,0.66,678826.97,45317.43,418116.3,438331.02,457114.89
30/6/2025,02fdb823-9ebd-4550-bcd0-4b93eaf88586,Option,Trading,Third-party,Corporate,Standardized,F3,0.46,393390.39,125707.82,123133.98,114669.7,103800.76
30/6/2025,b90f9385-7d7d-4631-a427-610f0abeb46c,Option,Trading,Third-party,Sovereign,IMM,F3,0.24,138085.67,22051.86,27848.11,25084.34,24402.87
30/6/2025,6da015be-a9cf-4ce3-9814-fe0f2d132d59,Option,Trading,Third-party,Interbank,SA-CCR,F3,0.28,842926.52,73507.33,215437.37,224308.92,215962.5
30/6/2025,c5a7839e-6321-43a9-ac81-9a2a66c0c24e,Option,Trading,Collateral,Interbank,SA-CCR,F3,0.78,215444.83,33952.58,141563.96,129359.23,121886.11
30/6/2025,16eeeb4c-a9ac-4608-927f-ecc37ab582fe,Option,Banking,Government,Retail,SA-CCR,F2,0.22,713084.08,168907.3,119718.89,130767.34,119245.74
30/6/2025,79edb4ac-88e7-4b63-9804-cb7a5929b509,Option,Trading,Collateral,Retail,IMM,F1,0.36,297914.34,133043.63,59353.46,70941.12,73813.55
30/6/2025,ee637a13-1b11-4ac0-85a7-df8938808945,Option,Trading,Third-party,Sovereign,IMM,F3,0.61,898667.82,61230.65,510836.67,443699.56,411743.75
30/6/2025,2c0e75dd-a99a-4302-9859-724d9b060582,Option,Banking,Collateral,Retail,IMM,F3,0.62,894948.95,235697.52,408735.89,366146.23,343088.74
30/6/2025,e90fa9f6-514e-42aa-ad44-ded6bb2dc096,Option,Trading,Third-party,Sovereign,SA-CCR,F4,0.73,23353.51,3700.01,14347.06,14448.6,14894.84
30/6/2025,354e15fa-6e59-41a9-8477-f38d5c590df7,Option,Trading,Collateral,Sovereign,SA-CCR,F1,0.92,615924.68,107601.96,467656.9,444553.85,456203.54
30/6/2025,21fbd03f-2765-4b0d-9601-0e545a1915a7,Option,Banking,Collateral,Interbank,SA-CCR,F4,0.88,283248.75,102657.4,158920.39,174869.25,163418.42
30/6/2025,4b9a010f-7f15-4deb-9c01-7adf6ac71e42,Option,Banking,Government,Sovereign,Standardized,F1,0.53,64386.51,2048.44,33039.18,29753.75,32659.19
30/6/2025,f64a3c13-fa64-4c9a-9a5d-f9b8033bca6f,Option,Banking,Government,Retail,IMM,F4,0.23,882289.17,58407.54,189492.77,225477.14,213726.24
30/6/2025,74d16601-45f8-40e4-9d10-9e37b5aaca78,Option,Trading,Third-party,Sovereign,IMM,F3,0.92,410014.88,178045.96,213411.41,239602.91,250257.01
30/6/2025,ce0e8198-4488-4f6b-9745-37bacaab44ee,Option,Securitization,Government,Interbank,SA-CCR,F2,0.62,833848.75,70140.54,473499.09,498051.86,461698.25
30/6/2025,f7284cb5-6607-45c0-899b-128e6bb37191,Option,Securitization,Government,Sovereign,Standardized,F4,0.69,848092.29,244635.3,416385.32,356155.26,374550.94
30/6/2025,e4ad4a8e-8121-4a22-a09f-8dfc004f1840,Option,Trading,Third-party,Corporate,SA-CCR,F4,0.92,834224.1,356455.65,439546.97,479742.97,486930.36
30/6/2025,1750b2a7-3176-4255-8c4d-fcadbf973271,Option,Trading,Third-party,Retail,SA-CCR,F4,1,327163.84,97986.11,229177.73,273164.35,277615.15
30/6/2025,65aa6d0a-79ff-4900-8317-766be227ce23,Option,Securitization,Third-party,Retail,Standardized,F4,0.56,269918.51,13638.17,143516.99,153024.12,160788.96
30/6/2025,1d3b2f44-3e22-4845-b6ee-1cc6077f7429,Option,Securitization,Government,Corporate,IMM,F1,0.54,402189.01,50632.99,189840.25,152770.3,161725.11
30/6/2025,962e766a-d621-4f14-a9ca-1edcb0207596,Option,Securitization,Third-party,Sovereign,Standardized,F2,0.37,297369.15,10872.74,106003.67,88200.35,81759.45
30/6/2025,b142c406-347d-4fe7-9f23-52260c6f8f27,Option,Trading,Collateral,Corporate,IMM,F2,0.2,935181.6,345111.69,118013.98,135430.55,141273.13
30/6/2025,85ba567c-b0f1-40fd-b758-f2c02289d695,Option,Trading,Government,Corporate,Standardized,F1,0.72,778866.55,185591.82,427157.81,472707.05,478019.22
30/6/2025,59764b71-3365-4679-a439-e8106838195f,Option,Securitization,Government,Retail,IMM,F2,0.97,548797.52,125009.53,411074.35,434094.2,415256.81
30/6/2025,018394a3-b36c-492d-aa9a-045fcba943eb,Option,Securitization,Government,Corporate,Standardized,F2,0.95,610643.99,237404.91,354577.13,403687.61,422382.27
30/6/2025,262885c9-a487-4c12-9359-0e532ac92472,Option,Securitization,Collateral,Sovereign,Standardized,F3,0.33,874705.85,136931.22,243465.63,215946.63,202833.26
30/6/2025,9105558d-34ef-4b77-9593-8a408d267e52,Option,Securitization,Government,Interbank,Standardized,F1,0.35,609621.76,18278.47,206970.15,230619.24,223230.66
30/6/2025,dfb3f8bc-4fa6-410d-868b-391e7bdbc551,Option,Trading,Government,Interbank,SA-CCR,F3,0.74,618627.51,230913.74,286908.19,293282.98,303795.99
30/6/2025,b64f73ab-0737-41f2-a421-6a7ea2a22130,Option,Trading,Collateral,Interbank,SA-CCR,F2,0.63,954302.36,106583.85,534062.66,489298.4,485017.75
30/6/2025,9907df46-1dea-4d85-8a1e-05835fc7bf65,Option,Trading,Government,Retail,Standardized,F1,0.34,227749.45,30092.6,67203.33,66921.88,71051.37
30/6/2025,c93aa458-fba4-4790-83c1-0e3ec1524a6a,Option,Securitization,Third-party,Interbank,SA-CCR,F1,0.53,801424.9,28738.62,409523.73,357600.4,380599.59
30/6/2025,57b18903-c60b-4df1-ad5d-58619e7e9aa1,Option,Trading,Government,Sovereign,SA-CCR,F3,0.65,178641.72,17623.11,104662.1,105192.13,103848.9
30/6/2025,345bbc32-fbf3-495c-ad77-20d74978f77b,Option,Trading,Third-party,Retail,IMM,F1,0.47,412471.45,27738.34,180824.56,181660.08,164927.91
30/6/2025,d543b16c-6489-4a72-b1ce-037dff7cf6cc,Option,Banking,Government,Interbank,IMM,F4,0.27,904074.06,77902.62,223066.29,267039.17,266032.24
30/6/2025,1ffc3b8f-077f-48e3-b89d-0de240372d26,Option,Securitization,Government,Sovereign,SA-CCR,F3,0.38,604524.66,165957.31,166655.59,163573.6,155152.8
30/6/2025,3fe1b3d5-c444-4129-89f7-48874076ff18,Option,Banking,Government,Sovereign,Standardized,F3,0.63,985172.79,177730.82,508688.44,594640.41,599455.57
30/6/2025,abe9c33e-6bbd-4a90-9cf1-8ebff2a1b9a4,Option,Securitization,Collateral,Retail,Standardized,F2,0.59,511531.53,4252.95,299294.36,332831.39,314882.4
30/6/2025,4a1f1268-64fb-4a99-b467-ab0e1d5e5a50,Option,Banking,Government,Retail,Standardized,F1,0.62,984485.3,334738.33,402843.12,364298.55,361057.25
30/6/2025,66a66a4c-95ab-473e-aa80-3d84c429caec,Option,Securitization,Collateral,Retail,SA-CCR,F3,0.81,671634.34,111390.45,453797.55,495444.98,544413.36
30/6/2025,a027ad93-7f16-4332-8009-0393f44d5290,Option,Securitization,Government,Interbank,SA-CCR,F4,0.94,912713.41,37787.74,822430.13,729052.04,798923.47
30/6/2025,afa92c8a-bf5c-407f-ae83-d36ba98c5d3b,Option,Securitization,Third-party,Sovereign,SA-CCR,F2,0.95,121539.43,23317.85,93310.5,106145.99,97646.08
30/6/2025,eedc67c0-11cf-400f-9545-326b3baba4a4,Option,Banking,Collateral,Retail,Standardized,F2,0.55,200095.03,44153.02,85768.11,72702.36,73335.47
30/6/2025,4fe38643-c438-4f85-a3bf-96cfa89b46b7,Option,Banking,Government,Retail,Standardized,F4,0.78,262385.98,81509.93,141083.32,115772.8,125338.01
30/6/2025,3d4ac7bf-a22f-4484-9f5a-7e42c4cda027,Option,Securitization,Collateral,Sovereign,IMM,F4,0.74,470405.26,75265.78,292403.22,254298.2,249426.87
30/6/2025,282ac99e-b52f-4bdb-ba0a-ef3baaa6b10e,Option,Securitization,Collateral,Sovereign,Standardized,F2,0.33,607274.95,197174.11,135333.28,161289.97,176312.83
30/6/2025,7562e9ee-5eac-485c-a14d-5cbd3c4247d9,Option,Banking,Collateral,Interbank,IMM,F2,0.46,311122.82,42664.36,123490.89,145839.83,144434.54
30/6/2025,c07a7fd7-028a-4d00-bfd3-66884aaacdc4,Option,Trading,Collateral,Interbank,SA-CCR,F1,0.36,625780.9,264103.64,130203.81,116380,126919.88
30/6/2025,13463c07-1af1-4df1-934b-4dd12f8e1168,Option,Trading,Collateral,Corporate,IMM,F1,0.39,571825.27,77945.8,192612.99,190231.72,185810.47
30/6/2025,a0f17d09-c898-4f2f-8635-554994fda545,Option,Securitization,Collateral,Retail,IMM,F4,0.94,953199.18,1684.8,894423.52,818886.63,852230.74
30/6/2025,fbaa874e-c419-43a1-b37a-f6f22464c884,Option,Banking,Government,Corporate,Standardized,F4,0.78,218579.5,25668.02,150470.95,177928.39,190420.91
30/6/2025,f6d4bcdd-dd71-4419-b12b-dbd4fbc33ce8,Option,Securitization,Collateral,Retail,SA-CCR,F4,0.67,705017.22,251255.32,304020.47,295958.5,316752.77
30/6/2025,2fdf02a6-9139-4227-b55d-98e4bf4cdbb6,Option,Banking,Third-party,Interbank,Standardized,F4,0.81,724188.83,136442.67,476074.39,513439.18,470296.62
30/6/2025,62fc8ed9-af8c-469d-b366-50a875d3270d,Option,Trading,Third-party,Corporate,Standardized,F2,0.52,127555.05,56925.72,36727.25,39447.3,37918.74
30/6/2025,dcabb971-ddf2-4a82-9e1f-14e19fd22cb2,Option,Securitization,Government,Corporate,Standardized,F4,0.63,216850.25,39887.7,111486.41,117036.23,123354.22
30/6/2025,2e5ca05d-e05e-48a6-974c-d039edee4633,Option,Banking,Third-party,Sovereign,IMM,F2,0.68,67943.34,20100.52,32533.12,30360.55,28284.96
30/6/2025,7be077d0-2a6c-457a-af3c-250eadb0e855,Option,Trading,Government,Retail,IMM,F4,0.58,247004.64,107275.61,81042.84,97136.45,88098.63
30/6/2025,ab05b510-0372-45fe-842b-d5a5945a1c3c,Option,Securitization,Government,Interbank,Standardized,F4,0.87,575850.97,206451.06,321377.92,342026.16,367797.4
30/6/2025,7a648726-f7fa-4b32-ab57-69669aefd0db,Option,Securitization,Third-party,Corporate,Standardized,F1,0.74,729385.63,76305.28,483279.46,438517.35,408784.48
30/6/2025,814823a4-4e0c-4d14-a007-f24aa56b3532,Option,Trading,Third-party,Sovereign,IMM,F1,0.45,42666.08,16670.2,11698.15,10091.93,9406.14
30/6/2025,8c5a4ade-de48-4d6e-a185-2bba88f6a473,Option,Trading,Government,Corporate,IMM,F3,0.75,744628.36,277980.44,349985.94,307416.72,290760.72
30/6/2025,89ac41dd-3b6b-46b6-877c-80c160bff7a9,Option,Securitization,Government,Retail,Standardized,F3,0.79,431884.25,46166.51,304717.01,284544.19,266667.96
30/6/2025,d4cd3b53-cc8d-4b67-8565-272099411371,Option,Banking,Collateral,Interbank,Standardized,F3,0.55,880649.27,356114.11,288494.34,286868.66,307791.33
30/6/2025,a5921f5b-56bc-42ee-b1b8-cd8d647c97bf,Option,Securitization,Collateral,Corporate,IMM,F2,0.44,505660.26,218211.23,126477.57,113097.01,103697.12
30/6/2025,db02b028-23d8-4c14-bc7c-01bcb4b3158c,Option,Trading,Government,Retail,IMM,F3,0.9,787295.92,58435.1,655974.74,548714.42,585451.91
30/6/2025,332209f1-6e34-40a0-9123-6f1178472d06,Option,Securitization,Government,Retail,SA-CCR,F2,0.47,919868.53,416569.78,236550.41,221100.66,213861.11
30/6/2025,eaeb68e4-bb1d-4932-9047-57e820d71270,Option,Securitization,Third-party,Corporate,IMM,F2,0.48,961520.23,146840.89,391046.08,412203.45,433299.1
30/6/2025,55579d91-268a-4bcf-8dcc-cfe305e6268a,Option,Trading,Collateral,Corporate,IMM,F3,0.97,392182.8,131523.93,252839.1,218395.62,234932.63
30/6/2025,8fe3c887-153c-4207-a8b1-ce01186f716e,Option,Securitization,Third-party,Retail,SA-CCR,F3,0.88,455100.69,40409.29,364928.43,301304.47,291215.97
30/6/2025,c1147a36-18c3-46bc-93d2-9ee63de41c8d,Option,Banking,Government,Corporate,SA-CCR,F2,0.45,271875.46,119194.21,68706.56,81546.8,83178.21
30/6/2025,f8f48fc8-5091-4739-9c59-fd115ba38f9d,Option,Securitization,Collateral,Interbank,IMM,F4,0.45,697236.61,278602.54,188385.33,159148.22,171782.33
30/6/2025,e0bfc278-2844-400d-9837-8f2f6a4f9b07,Option,Trading,Third-party,Retail,Standardized,F2,0.71,865424.18,213257.7,463038.2,402070.43,431325.89
30/6/2025,dd096a63-80c9-4ecf-bdc4-c0a2787fa314,Option,Trading,Collateral,Retail,SA-CCR,F2,0.32,22363.54,6297.76,5141.05,5772.75,5647.85
30/6/2025,ba902e9b-20f6-433d-8483-0c434ba51958,Option,Banking,Collateral,Sovereign,Standardized,F3,0.68,115921.75,56683.91,40281.73,39680.52,43353.31
30/6/2025,506370ad-254d-4dab-aa04-198db5cc760b,Option,Banking,Third-party,Sovereign,Standardized,F1,0.7,859108,10630.65,593934.14,691049.44,741307.77
30/6/2025,92d43bb3-b041-444a-b628-074ad08f18c6,Option,Securitization,Third-party,Retail,SA-CCR,F4,0.91,675762.01,145294.38,482725.54,446419.09,457493.49
30/6/2025,e37c388c-5bfb-44d3-8840-5ae40194c396,Option,Banking,Third-party,Retail,IMM,F3,0.52,94964.78,31310.34,33100.31,32220.18,33160.59
30/6/2025,04fa5847-c612-40a9-a870-af80a1021549,Option,Trading,Government,Interbank,Standardized,F1,0.37,516254.47,91050.66,157325.41,162070.41,161332.32
30/6/2025,72ee5352-aa56-42fc-a77d-ee11a981e80b,Option,Banking,Government,Sovereign,IMM,F3,0.41,188584.81,30912.19,64645.77,63503.73,60854.37
30/6/2025,95830e43-7434-4972-8fd5-d3fd693ee8e1,Option,Banking,Government,Interbank,SA-CCR,F3,0.91,171231.54,2837.14,153238.9,165447.18,160519.7
30/6/2025,8db83211-d80f-4753-a13f-802793e41dc4,Repo,Trading,Third-party,Interbank,SA-CCR,F1,0.9,966524.2,404109.25,506173.45,569175.47,591034.07
30/6/2025,9af93783-b3ad-438c-a0bc-3abd63ea09cd,Repo,Securitization,Government,Retail,Standardized,F1,0.88,625417.94,41286.19,514035.94,510064.64,484626.67
30/6/2025,7acde62c-e513-4542-b728-657b15e78d2b,Repo,Securitization,Government,Corporate,Standardized,F2,0.86,669185.26,58494.91,525193.7,450771.37,423224.22
30/6/2025,348bf615-4ce9-4b1b-bef9-865a40207514,Repo,Trading,Third-party,Interbank,Standardized,F4,0.85,381644.6,125740.97,217518.09,177200.26,194003.05
30/6/2025,be93e07e-d6b7-4d8b-807d-0ba5d3a0c35f,Repo,Banking,Third-party,Retail,Standardized,F1,0.9,49815.57,8322.31,37343.93,37725.2,39520.07
30/6/2025,a270d6a4-beb1-4075-b9c1-47563ae735e0,Repo,Securitization,Government,Retail,SA-CCR,F4,0.44,503523.69,231532.9,119675.95,141840.6,144356.52
30/6/2025,8b288568-34d4-44a3-81d0-04f44f84f50d,Repo,Securitization,Third-party,Corporate,IMM,F2,0.96,790753.84,150757.51,614396.48,506305.67,539278.37
30/6/2025,7f05667c-06bc-4f84-8523-c2c1d299c7b2,Repo,Banking,Government,Corporate,IMM,F1,0.32,877722.63,34121.9,269952.23,323685.34,339826.72
30/6/2025,674544a9-ca1b-4e6f-8e00-56a7ce0b195c,Repo,Banking,Third-party,Interbank,Standardized,F4,0.64,813410.23,57908.32,483521.22,553178.39,607116.8
30/6/2025,021efd17-16c8-4c6d-8bf1-1e5cc5e7ef5b,Repo,Trading,Collateral,Corporate,IMM,F4,0.75,926487.76,461716.6,348578.37,358892.62,348679.91
30/6/2025,c2425e9c-3f41-4e46-a11b-c0a29dbb7dc4,Repo,Banking,Third-party,Sovereign,Standardized,F3,0.55,854951.06,16145.21,461343.22,491385.3,535719.26
30/6/2025,6076df15-7a4e-4800-a033-c79a19265355,Repo,Trading,Third-party,Retail,IMM,F3,0.23,653542.66,105132.96,126134.23,139704.78,133634.95
30/6/2025,b3431fe2-52ab-4809-b94e-3c795305756f,Repo,Trading,Government,Interbank,Standardized,F4,0.32,831510.19,20200.91,259618.97,310194.51,304651.78
30/6/2025,3ad47d6b-cddd-4530-940f-21f499b0bf35,Repo,Banking,Government,Retail,Standardized,F3,0.51,856628.13,311546.38,277991.69,316792.16,293088.71
30/6/2025,64e5c7b4-3d81-4981-9594-19a305a024d3,Repo,Securitization,Government,Sovereign,IMM,F2,0.59,426485.65,93610.48,196396.35,192842.77,199743.87
30/6/2025,45530e4c-4f71-43df-b071-5e2c762fe396,Repo,Trading,Government,Corporate,IMM,F2,0.95,429438.97,164738.02,251465.9,296643.07,318434.72
30/6/2025,4b16dac1-d00e-493b-8c3f-cf98a2b8443e,Repo,Banking,Government,Sovereign,Standardized,F1,0.34,766184.96,338408.22,145444.09,157815.58,166740.2
30/6/2025,91d02eb8-4fc0-45c2-b3be-f6ddb8c46edb,Repo,Banking,Government,Interbank,SA-CCR,F4,0.7,213345.52,24490.64,132198.42,130678.63,131490.19
30/6/2025,93e2efbf-033c-4c7f-935d-f58e399da0cc,Repo,Banking,Collateral,Retail,Standardized,F1,0.66,382150.09,41871.8,224583.67,257974.99,254918.2
30/6/2025,abe206da-5044-4a15-9b46-4f423e9d6662,Repo,Trading,Collateral,Interbank,SA-CCR,F3,0.8,204595.07,98364.57,84984.4,96603.18,91214.87
30/6/2025,74d8f54f-cecf-411a-8503-714a1f05e6b5,Repo,Banking,Collateral,Sovereign,SA-CCR,F3,0.48,71619.26,1563.69,33626.67,34624.88,34063.84
30/6/2025,fcd5ba43-df39-4dae-989f-aa2e82d255d0,Repo,Securitization,Collateral,Corporate,SA-CCR,F3,0.22,33185.82,7899.15,5563.07,5485.2,5730.85
30/6/2025,2fddc6e9-9b98-443e-8e94-654fddfa8860,Repo,Securitization,Government,Sovereign,Standardized,F3,0.84,247821.7,44975.78,170390.57,182472.59,200362.81
30/6/2025,3690cd5d-07fa-4fdb-9e9c-d9aec74399a3,Repo,Trading,Government,Interbank,IMM,F4,0.23,22056.79,1362.77,4759.62,4474.68,4628.55
30/6/2025,da92c75f-83df-4e19-a66a-d16b48f4bb2c,Repo,Securitization,Government,Retail,Standardized,F4,0.49,159764.49,29826.89,63669.42,69858.73,73321.8
30/6/2025,2a9a1c2b-ba27-408a-bf51-2667cc9cb911,Repo,Securitization,Government,Sovereign,SA-CCR,F2,0.8,304844.44,136279.19,134852.2,111162.64,118070.02
30/6/2025,3c44e8ad-47f5-4999-928d-567a752aaa93,Repo,Trading,Collateral,Corporate,IMM,F1,0.83,99139.55,46155.76,43976.55,36178.01,38723.59
30/6/2025,90002314-f9cc-4090-9c35-b0d5a12bee23,Repo,Securitization,Collateral,Corporate,SA-CCR,F1,0.71,761579.37,136709.72,443657.45,366261.21,400597.17
30/6/2025,1c65c7a4-88f2-4528-b641-defb58d1c14d,Repo,Securitization,Government,Interbank,IMM,F1,0.65,33733.86,5821.22,18143.22,16184.09,17590.85
30/6/2025,6f5b0a06-a9d8-4602-b8ba-0214828ad390,Repo,Banking,Third-party,Sovereign,IMM,F4,0.32,25437.9,5709.27,6313.16,5846.18,6105.7
30/6/2025,bede2e5f-36a7-4d5c-9f6a-5b70d29bee7b,Repo,Banking,Third-party,Sovereign,SA-CCR,F4,0.73,523019.26,135997.03,282526.23,279995.26,252160.93
30/6/2025,2547de0b-22f2-4be3-9e91-8d6cbad2f4ea,Repo,Securitization,Collateral,Retail,SA-CCR,F2,0.84,30272.18,483.5,25022.49,25504.8,25064.32
30/6/2025,2c757698-4a85-4b6b-8617-47601ad4f00e,Repo,Trading,Government,Retail,SA-CCR,F1,0.76,265707.75,33273.78,176649.82,179590.85,175473.59
30/6/2025,93eba113-2a8d-4a5b-b57b-98d4dab7b3ea,Repo,Securitization,Collateral,Retail,IMM,F2,0.74,699631.08,156039.76,402257.58,441094.2,454751.23
30/6/2025,a748c16a-e285-4ad5-94a4-c4076fe3f4cd,Repo,Banking,Third-party,Corporate,Standardized,F4,0.22,298401.01,46189.69,55486.49,58962.25,56718.02
30/6/2025,72dcff58-4d0b-4a86-a84b-d6907a69e2bc,Repo,Banking,Third-party,Interbank,SA-CCR,F2,0.34,666578.1,44500.48,211506.39,235123.62,242236.6
30/6/2025,480247ae-4c7a-415d-b67b-bda0b550d61c,Repo,Banking,Collateral,Sovereign,IMM,F2,0.66,541761.68,127240.52,273583.97,311183.7,280971.6
30/6/2025,65c38014-3b5e-4e29-bf58-7624535fa58f,Repo,Trading,Collateral,Corporate,IMM,F2,0.34,757832.42,297929.73,156366.91,157143.66,157948.31
30/6/2025,e2c15e9b-7d0d-43ba-bef6-f4ebc7acca02,Repo,Securitization,Collateral,Corporate,SA-CCR,F3,0.69,279708.57,101667.45,122848.37,121842.02,130088.47
30/6/2025,d66e5e53-6418-43e4-b829-d2b2d78871bd,Repo,Trading,Collateral,Sovereign,IMM,F3,0.52,164810.81,62031.87,53445.05,43324.85,42166.3
30/6/2025,b7a0ca28-9fc6-4952-be44-83563005d425,Repo,Banking,Third-party,Retail,Standardized,F4,0.53,992771.27,84038.7,481628.26,540686.08,589939.4
30/6/2025,65e27da4-5985-46ef-b380-5cf291397d7a,Repo,Trading,Government,Corporate,SA-CCR,F3,0.45,873234.88,22580.07,382794.66,322044.73,318770.84
30/6/2025,80d5f41e-c3ce-44e2-8a38-53af53259966,Repo,Trading,Collateral,Interbank,SA-CCR,F1,0.84,324034.13,138184.24,156113.91,167206.3,178500.38
30/6/2025,518928a5-b8a8-4c7b-859c-e69ce273ada6,Repo,Banking,Government,Corporate,Standardized,F3,0.55,359543.54,118599.11,132519.44,109791.38,114040.44
30/6/2025,d95dc996-db20-4cf2-beed-9517011b6053,Repo,Securitization,Government,Retail,SA-CCR,F4,0.5,210485.95,79610.14,65437.91,78205.81,77078.06
30/6/2025,10d19454-5a8a-4d95-bf57-e1cff54d1825,Repo,Trading,Collateral,Interbank,SA-CCR,F3,0.21,406049.06,170051.57,49559.47,48270.42,46303.46
30/6/2025,4884176f-633e-4041-b3b8-797a15c4121c,Repo,Securitization,Third-party,Interbank,Standardized,F3,0.63,715716.5,181920.38,336291.56,329123.82,343440.91
30/6/2025,35ad9823-b5cb-44fe-95b1-3e77a3188f89,Repo,Securitization,Government,Retail,Standardized,F4,0.34,739216.21,227039.11,174140.21,208367.68,202807.1
30/6/2025,391a337e-c505-46f0-a887-cb4a8d6d09c2,Repo,Securitization,Government,Retail,SA-CCR,F2,0.6,955268.07,91609.6,518195.08,524325.13,509781.88
30/6/2025,5c6046a2-b6e6-48f4-80fc-95e1b0d1f16c,Repo,Banking,Collateral,Retail,SA-CCR,F3,0.56,470920.02,29800.76,247026.79,227350.73,230362.89
